from,to,value,block_time
0x4e548fd843a3016dba3656d914772f5c57e8c1d9,0xbeb8b4ce1a5a4839a91ae88e14b84d4672418795,37.99839994946061,1673642183
0x7a017e5e9672bc994dcb1a2a27d853c9c629f7c3,0x7b2f423695ffe0954801b343ac85d41405151621,100.49586039096936,1673642159
0x4e548fd843a3016dba3656d914772f5c57e8c1d9,0x4785812691a8e2ad00f074398747632d89c0fdd5,62.0,1673642123
0xf69f340cf699be3e0169558230d51d45d01d0216,0x28ffe35688ffffd0659aee2e34778b0ae4e193ad,252.9992765741773,1673664575
0x1b9ccfd3916a17946d9fce86afca5ee957fe1044,0x2d040135eb734b9b6fb1882312d50f889d9168b1,0.467862266530423,1673664635
0x8fbff7ba6785f1c97c18e55f4c0ae01138925db4,0xfbbbcb1383d446afb72e249c6b2d3c68e45f419e,597.5342823203323,1673664971
0xf80a4c378c571ac9810c94fab64471cec739ec60,0x3edf187f3bd3d568b249c4c0b2a22343aa5bf071,596.6237610065806,1673665007
0x5f2bf8162b2ea6d4ecb5c9d2b85801cd4f5fca28,0xe728407b983ec25c133c76f40fa93d45e7b1a502,339.9975711323634,1673665067
0x01da85536e2ca9ee0fa8e85a010adaffc840e6a9,0x369bde04d1a18b30944edf8d821a8253fd6c90fa,596.83669619,1673665079
0x873ce45024274112e8ae961b22020bac81df0674,0x880faa76642e802091d40b7f3059280f661853e1,100.0,1673665091
0x634a699f2b8a21ec050a20e090b656afadd1bc43,0xb4f7cbd27729ba570be63ecdde8555be40a400eb,240.0,1673665127
0x0f52789dcc5523343aedac4ebc65a2584966f773,0xc3f2c8f9d5f0705de706b1302b7a039e1e11ac88,597.4228505699548,1673665127
0x0f71d7645d866f5b6016281eccde34a33b23a23b,0xc3f2c8f9d5f0705de706b1302b7a039e1e11ac88,597.4759303016598,1673665151
0xfbbbcb1383d446afb72e249c6b2d3c68e45f419e,0xc3f2c8f9d5f0705de706b1302b7a039e1e11ac88,597.4997312787123,1673665175
0x2c3813fa3ca8604fd3d8182fe409891048e16ea5,0x6a2e3b36886d56856fe9eae95401df97ef0e4363,5.0,1673665199
0xb4f7cbd27729ba570be63ecdde8555be40a400eb,0x054db0267f806ead3b00d0353ac2aac67bcbb0d6,520.9968976319739,1673665199
0x3edf187f3bd3d568b249c4c0b2a22343aa5bf071,0xc3f2c8f9d5f0705de706b1302b7a039e1e11ac88,596.5877921325206,1673665199
0x369bde04d1a18b30944edf8d821a8253fd6c90fa,0xc3f2c8f9d5f0705de706b1302b7a039e1e11ac88,596.79621125572,1673665223
0x634a699f2b8a21ec050a20e090b656afadd1bc43,0x1c5c3b13498677364ae775e001759db4790bc67b,488.48272077434495,1673665247
0xe728407b983ec25c133c76f40fa93d45e7b1a502,0x5cad5e57551dc4e91e092a4fc5364860cb092473,135.0,1673665343
0x6a2e3b36886d56856fe9eae95401df97ef0e4363,0x28c6c06298d514db089934071355e5743bf21d60,4.985,1673665379
0xab9e793b87ab2cab13b05b80a444464852eb4d30,0xd21c356b252212297f55187c4d3d001f1278c5ff,150.0,1673665655
0xe728407b983ec25c133c76f40fa93d45e7b1a502,0x2d040135eb734b9b6fb1882312d50f889d9168b1,204.99611214297417,1673665703
0x2c3813fa3ca8604fd3d8182fe409891048e16ea5,0x24f69318ffc95ef906fc9eda08b8911d0fe43691,200.0,1673665715
0x054db0267f806ead3b00d0353ac2aac67bcbb0d6,0xf69f340cf699be3e0169558230d51d45d01d0216,260.0,1673665751
0xd21c356b252212297f55187c4d3d001f1278c5ff,0xcac725bef4f114f728cbcfd744a731c2a463c3fc,149.9993168580027,1673665787
0x24f69318ffc95ef906fc9eda08b8911d0fe43691,0x28ffe35688ffffd0659aee2e34778b0ae4e193ad,199.9993168580027,1673665847
0x1c5c3b13498677364ae775e001759db4790bc67b,0x7fa9128f778d551236186ab1dfb5aace36af12d9,250.0,1673665847
0xf69f340cf699be3e0169558230d51d45d01d0216,0x28ffe35688ffffd0659aee2e34778b0ae4e193ad,259.9993168580027,1673665895
0x2d040135eb734b9b6fb1882312d50f889d9168b1,0x09c964c75a27a1d296108e5afe7108f98993b2f5,236.0,1673665907
0x7fa9128f778d551236186ab1dfb5aace36af12d9,0xcac725bef4f114f728cbcfd744a731c2a463c3fc,249.9993435375787,1673665991
